"PhotoID","Species","Area","PctCov","Count","Area_flag","PctCov_flag","Count_flag"
"CA1968_110_01","Basketball",0.034,0.63,3,NA,NA,NA
"CA1968_110_01","Finger",0.022,0.408,6,NA,NA,NA
"CA1968_110_01","Polymastia invaginata",0.008,0.148,4,NA,NA,NA
"CA1968_110_01","Rossella podagrosa",2.86,52.997,NA,NA,NA,NA
"CA1968_110_02","Basketball",0.006,0.11,2,NA,NA,NA
"CA1968_110_02","Dendrilla antarctica",0.066,1.208,1,NA,NA,NA
"CA1968_110_02","Finger",0.149,2.728,29,NA,NA,NA
"CA1968_110_02","Leucascus leptoraphis",0.031,0.567,1,NA,NA,NA
"CA1968_110_02","Rossella podagrosa",1.694,31.01,NA,NA,NA,NA
"CA1968_110_02","Staghorn",0.111,2.032,4,NA,NA,NA
"CA1968_110_03","Bryozoa",0.217,4.266,NA,NA,NA,NA
"CA1968_110_03","Finger",0.037,0.727,10,NA,NA,NA
"CA1968_110_03","Polymastia invaginata",0.077,1.514,5,NA,NA,NA
"CA1968_110_03","Rossella podagrosa",2.086,41.004,NA,NA,NA,NA
"CA1968_110_03","Spikey",0.019,0.373,4,NA,NA,NA
"CA1968_110_03","Staghorn",0.011,0.216,1,NA,NA,NA
"CA1968_110_04","Basketball",0.051,0.843,4,NA,NA,NA
"CA1968_110_04","Finger",0.02,0.331,4,NA,NA,NA
"CA1968_110_04","Leucascus leptoraphis",0.01,0.165,1,NA,"D",NA
"CA1968_110_04","Polymastia invaginata",0.029,0.48,8,NA,NA,NA
"CA1968_110_04","Rossella podagrosa",3.387,56.008,NA,NA,NA,NA
"CA1968_110_04","Staghorn",0.019,0.314,4,NA,NA,NA
"CA1968_110_05","Basketball",0.015,0.313,2,NA,NA,NA
"CA1968_110_05","Bryozoa",0.022,0.46,NA,NA,NA,NA
"CA1968_110_05","Finger",0.023,0.48,6,NA,NA,NA
"CA1968_110_05","Polymastia invaginata",0.038,0.794,21,NA,NA,NA
"CA1968_110_05","Rossella podagrosa",0.64,13.368,NA,NA,NA,NA
"CA1968_110_05","Spikey",0.015,0.313,3,NA,NA,NA
"CA1968_110_06","Basketball",0.007,0.152,2,NA,NA,NA
"CA1968_110_06","Finger",0.032,0.693,10,NA,NA,NA
"CA1968_110_06","Leucascus leptoraphis",0.022,0.477,1,NA,NA,NA
"CA1968_110_06","Polymastia invaginata",0.145,3.142,17,NA,NA,NA
"CA1968_110_06","Rossella podagrosa",3.096,67.086,NA,NA,NA,NA
"CA1968_110_06","Spikey",0.007,0.152,1,NA,NA,NA
"CA1968_110_07","Fan",0.017,0.321,1,NA,NA,NA
"CA1968_110_07","Finger",0.019,0.359,11,NA,NA,NA
"CA1968_110_07","Kirkpatrickia variolosa",0.014,0.265,1,NA,NA,NA
"CA1968_110_07","Leucascus leptoraphis",0.008,0.151,1,NA,NA,NA
"CA1968_110_07","Polymastia invaginata",0.058,1.097,7,NA,NA,NA
"CA1968_110_07","Rossella podagrosa",2.486,47.001,NA,NA,NA,NA
"CA1968_110_08","Basketball",0.013,0.313,3,NA,NA,NA
"CA1968_110_08","Finger",0.013,0.313,4,NA,NA,NA
"CA1968_110_08","Leucascus leptoraphis",0.004,0.096,1,NA,NA,NA
"CA1968_110_08","Polymastia invaginata",0.05,1.205,8,NA,NA,NA
"CA1968_110_08","Rossella podagrosa",1.618,39.002,NA,NA,NA,NA
"CA1968_110_08","Sphaerotylus antarcticus",0.015,0.362,1,NA,NA,NA
"CA1968_110_08","Spikey",0.007,0.169,8,NA,NA,NA
"CA1968_110_08","Staghorn",0.028,0.675,5,NA,NA,NA
"CA1968_110_09","Basketball",0.013,0.305,1,NA,NA,NA
"CA1968_110_09","Finger",0.044,1.034,23,NA,NA,NA
"CA1968_110_09","Leucascus leptoraphis",0.018,0.423,1,NA,NA,NA
"CA1968_110_09","Polymastia invaginata",0.053,1.245,9,NA,NA,NA
"CA1968_110_09","Rossella podagrosa",1.745,40.991,NA,NA,NA,NA
"CA1968_110_10","Basketball",0.013,0.313,1,NA,NA,NA
"CA1968_110_10","Bryozoa",0.132,3.175,NA,NA,NA,NA
"CA1968_110_10","Fan",0.007,0.168,1,NA,NA,NA
"CA1968_110_10","Finger",0.041,0.986,15,NA,NA,NA
"CA1968_110_10","Leucascus leptoraphis",0.011,0.265,1,NA,NA,NA
"CA1968_110_10","Polymastia invaginata",0.037,0.89,6,NA,NA,NA
"CA1968_110_10","Rossella podagrosa",1.746,41.995,NA,NA,NA,NA
"CA1968_120_01","Basketball",0.552,9.936,28,NA,NA,NA
"CA1968_120_01","Bryozoa",0.015,0.27,NA,NA,NA,NA
"CA1968_120_01","Finger",0.519,9.342,49,NA,NA,NA
"CA1968_120_01","Leucascus leptoraphis",0.004,0.072,1,NA,NA,NA
"CA1968_120_01","Polymastia invaginata",0.052,0.936,6,NA,NA,NA
"CA1968_120_01","Rossella podagrosa",1.944,34.992,NA,NA,NA,NA
"CA1968_120_01","Spikey",0.004,0.072,2,NA,NA,NA
"CA1968_120_02","Basketball",0.142,3.847,11,NA,NA,NA
"CA1968_120_02","Finger",0.383,10.377,45,NA,NA,NA
"CA1968_120_02","Isodictya erinacea",0.019,0.515,1,NA,NA,NA
"CA1968_120_02","Leucascus leptoraphis",0.033,0.894,3,NA,NA,NA
"CA1968_120_02","Polymastia invaginata",0.03,0.813,10,NA,NA,NA
"CA1968_120_02","Rossella podagrosa",1.772,48.009,NA,NA,NA,NA
"CA1968_120_02","Spikey",0.052,1.409,3,NA,NA,NA
"CA1968_120_02","Staghorn",0.142,3.847,1,NA,NA,NA
"CA1968_120_03","Basketball",0.142,2.623,7,NA,NA,NA
"CA1968_120_03","Finger",0.193,3.566,16,NA,NA,NA
"CA1968_120_03","Leucascus leptoraphis",0.023,0.425,1,NA,NA,NA
"CA1968_120_03","Polymastia invaginata",0.041,0.757,17,NA,NA,NA
"CA1968_120_03","Rossella podagrosa",2.544,47.001,NA,NA,NA,NA
"CA1968_120_03","Staghorn",0.032,0.591,1,NA,NA,NA
"CA1968_120_04","Basketball",0.027,0.841,5,NA,NA,NA
"CA1968_120_04","Bryozoa",0.03,0.934,NA,NA,NA,NA
"CA1968_120_04","Dendrilla antarctica",0.095,2.958,2,NA,NA,NA
